SigUFPrincipal;SigTipoGeracao;DscOrigemCombustivel;DscFonteCombustivel;NomFonteCombustivel;MdaGarantiaFisicaKw;DscTipoOutorga
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7200.0;Autorização
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;38800.0;Concessão
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;54600.0;Concessão
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;63200.0;Concessão
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;57800.0;Concessão
MS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;36900.0;Concessão
CE;EOL;Eólica;Cinética do Vento;Cinética do Vento;7930.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12490.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
RJ;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
PR;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;110.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;180.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3270.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7140.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10400.0;Autorização
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4580.0;Autorização
RN;EOL;Eólica;Cinética do Vento;Cinética do Vento;0.0;Registro
CE;EOL;Eólica;Cinética do Vento;Cinética do Vento;20530.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7480.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;2970.0;Autorização
SC;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;27850.0;Autorização
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1750.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8100.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;21200.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8930.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;17090.0;Autorização
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12710.0;Autorização
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10750.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9110.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12040.0;Autorização
RS;EOL;Eólica;Cinética do Vento;Cinética do Vento;17710.0;Autorização
RS;EOL;Eólica;Cinética do Vento;Cinética do Vento;18310.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Registro
MS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;17570.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;19130.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13690.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;26450.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;14120.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;20830.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1620.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;18900.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1300.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9330.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3860.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;16710.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;19250.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;15200.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;14830.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4240.0;Autorização
RO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11950.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11900.0;Autorização
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2110.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;14000.0;Autorização
RO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2790.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8460.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11300.0;Autorização
RS;EOL;Eólica;Cinética do Vento;Cinética do Vento;2140.0;Autorização
CE;EOL;Eólica;Cinética do Vento;Cinética do Vento;10690.0;Autorização
CE;EOL;Eólica;Cinética do Vento;Cinética do Vento;6700.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;2480.0;Autorização
AL;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MA;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;609100.0;Concessão
RS;EOL;Eólica;Cinética do Vento;Cinética do Vento;17650.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Registro
RJ;UTE;Biomassa;Resíduos Sólidos Urbanos;Biogás - RU;0.0;Registro
RS;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PR;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
CE;EOL;Eólica;Cinética do Vento;Cinética do Vento;15430.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;600.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SE;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;550.0;Registro
PA;UTE;Fóssil;Carvão Mineral;Carvão Mineral;0.0;Autorização
MA;UTE;Biomassa;Floresta;Carvão Vegetal;0.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;20730.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7750.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Combustível;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1420.0;Autorização
AM;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;UTE;Biomassa;Floresta;Carvão Vegetal;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PB;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;9690.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RJ;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9130.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7560.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11840.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8890.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;17900.0;Autorização
RS;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;17490.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3440.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10410.0;Autorização
SP;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
GO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;23060.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;17870.0;Autorização
BA;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4690.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;18710.0;Autorização
BA;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7440.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13610.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;14090.0;Autorização
BA;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6620.0;Autorização
PE;EOL;Eólica;Cinética do Vento;Cinética do Vento;1230.0;Autorização
MS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9800.0;Autorização
BA;UTE;Biomassa;Floresta;Licor Negro;0.0;Autorização
PE;EOL;Eólica;Cinética do Vento;Cinética do Vento;1320.0;Autorização
PE;EOL;Eólica;Cinética do Vento;Cinética do Vento;1200.0;Autorização
PE;EOL;Eólica;Cinética do Vento;Cinética do Vento;1340.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RJ;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
GO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
GO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
GO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;3950.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6620.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6370.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9100.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13920.0;Autorização
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;8700.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;8900.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;540.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;1470.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;8430.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;9280.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13430.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5000.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;19300.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10110.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;7930.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12230.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;3110.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12370.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7300.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;16110.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;6660.0;Autorização
SC;EOL;Eólica;Cinética do Vento;Cinética do Vento;9100.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12250.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13700.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1350.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;480.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1340.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1290.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1430.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1380.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1310.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1210.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1470.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1320.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1310.0;Autorização
PB;EOL;Eólica;Cinética do Vento;Cinética do Vento;1270.0;Autorização
MG;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MS;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MG;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1130.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
ES;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;2200.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;670.0;Registro
PE;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;1600.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;21400.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;21400.0;Autorização
MG;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;21900.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7400.0;Autorização
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;15900.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3040.0;Autorização
MG;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;19100.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;16970.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3960.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6700.0;Autorização
AL;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;5180.0;Autorização
PR;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;24400.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12600.0;Autorização
MG;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;3900.0;Registro
RS;UTE;Biomassa;Agroindustriais;Casca de Arroz;1700.0;Registro
ES;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;14400.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1690.0;Registro
SE;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;2500.0;Autorização
GO;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;1800.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;800.0;Registro
GO;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;12040.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;840.0;Registro
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7940.0;Autorização
AL;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;17180.0;Autorização
GO;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;11460.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3690.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3070.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;890.0;Registro
GO;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;16600.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9500.0;Autorização
BA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
AM;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RJ;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
BA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MS;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;26800.0;Autorização
MS;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Registro
MG;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Registro
PR;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
PR;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;9300.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13440.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;640.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PE;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1760.0;Registro
PE;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;UTE;Biomassa;Floresta;Resíduos Florestais;0.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;980.0;Registro
MG;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;530.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;210.0;Registro
SC;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
TO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PR;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
MA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;12240.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8670.0;Autorização
GO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;UTE;Fóssil;Carvão Mineral;Gás de Alto Forno - CM;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SP;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
